cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
2784	0	non	65	110	0	na
2878	94	non	53	0	0	na
2878	0	non	65	0	0	na
3072	194	non	57	110	0	na
3166	94	non	57	0	0	na
3168	2	non	52	110	0	na
3168	0	non	64	110	0	na
3262	94	non	52	0	0	na
3262	0	non	64	0	0	na
3264	2	non	57	110	0	na
3358	94	non	57	0	0	na
3360	2	non	52	110	0	na
3360	0	non	64	110	0	na
3454	94	non	52	0	0	na
3454	0	non	64	0	0	na
3456	2	non	57	110	0	na
3550	94	non	57	0	0	na
3552	2	non	63	110	0	na
3646	94	non	63	0	0	na
3840	194	non	57	110	0	na
3934	94	non	57	0	0	na
3936	2	non	62	110	0	na
4030	94	non	62	0	0	na
4032	2	non	57	110	0	na
4126	94	non	57	0	0	na
4128	2	non	62	110	0	na
4222	94	non	62	0	0	na
4224	2	non	52	110	0	na
4224	0	non	57	110	0	na
4270	46	non	52	0	0	na
4270	0	non	57	0	0	na
4272	2	non	52	110	0	na
4318	46	non	52	0	0	na
4320	2	non	52	110	0	na
4366	46	non	52	0	0	na
4368	2	non	52	110	0	na
4414	46	non	52	0	0	na
4416	2	non	52	110	0	na
4462	46	non	52	0	0	na
4464	2	non	54	110	0	na
4510	46	non	54	0	0	na
4512	2	non	59	110	0	na
4606	94	non	59	0	0	na
4608	2	non	57	110	0	na
4702	94	non	57	0	0	na
4704	2	non	64	110	0	na
4798	94	non	64	0	0	na
4800	2	non	57	110	0	na
4894	94	non	57	0	0	na
4896	2	non	64	110	0	na
4990	94	non	64	0	0	na
4992	2	non	57	110	0	na
5086	94	non	57	0	0	na
5088	2	non	63	110	0	na
5182	94	non	63	0	0	na
5376	194	non	57	110	0	na
5470	94	non	57	0	0	na
5472	2	non	62	110	0	na
5566	94	non	62	0	0	na
5568	2	non	57	110	0	na
5662	94	non	57	0	0	na
5664	2	non	62	110	0	na
5758	94	non	62	0	0	na
5760	2	non	57	110	0	na
5902	142	non	57	0	0	na
5904	2	non	69	110	0	na
5950	46	non	69	0	0	na
6024	74	non	65	110	0	na
6142	118	non	65	0	0	na
6144	2	non	57	110	0	na
6238	94	non	57	0	0	na
6240	2	non	64	110	0	na
6334	94	non	64	0	0	na
6336	2	non	57	110	0	na
6430	94	non	57	0	0	na
6432	2	non	64	110	0	na
6526	94	non	64	0	0	na
6528	2	non	57	110	0	na
6622	94	non	57	0	0	na
6624	2	non	63	110	0	na
6718	94	non	63	0	0	na
6912	194	non	57	110	0	na
6912	0	non	62	110	0	na
7072	160	non	57	0	0	na
7072	0	non	62	0	0	na
7104	32	non	57	110	0	na
7104	0	non	62	110	0	na
7264	160	non	57	0	0	na
7264	0	non	62	0	0	na
7296	32	non	56	110	0	na
7296	0	non	65	110	0	na
7456	160	non	56	0	0	na
7456	0	non	65	0	0	na
7488	32	non	56	110	0	na
7488	0	non	65	110	0	na
7648	160	non	56	0	0	na
7648	0	non	65	0	0	na
7680	32	non	58	110	0	na
7680	0	non	61	110	0	na
7680	0	non	66	110	0	na
7840	160	non	58	0	0	na
7840	0	non	61	0	0	na
7840	0	non	66	0	0	na
7872	32	non	58	110	0	na
7872	0	non	61	110	0	na
7872	0	non	66	110	0	na
8032	160	non	58	0	0	na
8032	0	non	61	0	0	na
8032	0	non	66	0	0	na
8064	32	non	59	110	0	na
8064	0	non	61	110	0	na
8064	0	non	66	110	0	na
8224	160	non	59	0	0	na
8224	0	non	61	0	0	na
8224	0	non	66	0	0	na
8256	32	non	59	110	0	na
8256	0	non	61	110	0	na
8256	0	non	66	110	0	na
8416	160	non	59	0	0	na
8416	0	non	61	0	0	na
8416	0	non	66	0	0	na
8448	32	non	58	110	0	na
8448	0	non	61	110	0	na
8448	0	non	66	110	0	na
8608	160	non	58	0	0	na
8608	0	non	61	0	0	na
8608	0	non	66	0	0	na
8640	32	non	58	110	0	na
8640	0	non	61	110	0	na
8640	0	non	66	110	0	na
8800	160	non	58	0	0	na
8800	0	non	61	0	0	na
8800	0	non	66	0	0	na
8832	32	non	59	110	0	na
8832	0	non	63	110	0	na
8832	0	non	66	110	0	na
8992	160	non	59	0	0	na
8992	0	non	63	0	0	na
8992	0	non	66	0	0	na
9024	32	non	59	110	0	na
9024	0	non	63	110	0	na
9024	0	non	66	110	0	na
9166	142	non	59	0	0	na
9166	0	non	63	0	0	na
9166	0	non	66	0	0	na
9168	2	non	54	110	0	na
9214	46	non	54	0	0	na
9216	2	non	58	110	0	na
9216	0	non	61	110	0	na
9216	0	non	66	110	0	na
9376	160	non	58	0	0	na
9376	0	non	61	0	0	na
9376	0	non	66	0	0	na
9408	32	non	58	110	0	na
9408	0	non	61	110	0	na
9408	0	non	66	110	0	na
9568	160	non	58	0	0	na
9568	0	non	61	0	0	na
9568	0	non	66	0	0	na
9600	32	non	59	110	0	na
9600	0	non	61	110	0	na
9600	0	non	66	110	0	na
9760	160	non	59	0	0	na
9760	0	non	61	0	0	na
9760	0	non	66	0	0	na
9792	32	non	59	110	0	na
9792	0	non	61	110	0	na
9792	0	non	66	110	0	na
9952	160	non	59	0	0	na
9952	0	non	61	0	0	na
9952	0	non	66	0	0	na
9984	32	non	58	110	0	na
9984	0	non	61	110	0	na
9984	0	non	66	110	0	na
10144	160	non	58	0	0	na
10144	0	non	61	0	0	na
10144	0	non	66	0	0	na
10176	32	non	58	110	0	na
10176	0	non	61	110	0	na
10176	0	non	66	110	0	na
10336	160	non	58	0	0	na
10336	0	non	61	0	0	na
10336	0	non	66	0	0	na
10368	32	non	59	110	0	na
10368	0	non	63	110	0	na
10368	0	non	66	110	0	na
10528	160	non	59	0	0	na
10528	0	non	63	0	0	na
10528	0	non	66	0	0	na
10560	32	non	59	110	0	na
10560	0	non	63	110	0	na
10560	0	non	66	110	0	na
10702	142	non	59	0	0	na
10702	0	non	63	0	0	na
10702	0	non	66	0	0	na
10704	2	non	54	110	0	na
10750	46	non	54	0	0	na
10752	2	non	58	110	0	na
10752	0	non	61	110	0	na
