cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
25728	32	non	75	110	0	na
26064	336	non	75	0	0	na
26112	48	non	74	110	0	na
26448	336	non	74	0	0	na
26496	48	non	72	110	0	na
26656	160	non	72	0	0	na
26688	32	non	70	110	0	na
26848	160	non	70	0	0	na
26880	32	non	72	110	0	na
27216	336	non	72	0	0	na
27264	48	non	74	110	0	na
27984	720	non	74	0	0	na
cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
192	192	non	70	110	1	na
352	160	non	70	0	1	na
576	224	non	70	110	1	na
736	160	non	70	0	1	na
960	224	non	70	110	1	na
1120	160	non	70	0	1	na
1344	224	non	70	110	1	na
1504	160	non	70	0	1	na
1920	416	non	67	110	1	na
2080	160	non	67	0	1	na
2304	224	non	67	110	1	na
2464	160	non	67	0	1	na
2688	224	non	67	110	1	na
2848	160	non	67	0	1	na
3072	224	non	66	110	1	na
3232	160	non	66	0	1	na
3456	224	non	65	110	1	na
3616	160	non	65	0	1	na
3840	224	non	65	110	1	na
4000	160	non	65	0	1	na
4224	224	non	65	110	1	na
4384	160	non	65	0	1	na
4608	224	non	65	110	1	na
4768	160	non	65	0	1	na
4992	224	non	67	110	1	na
5152	160	non	67	0	1	na
5376	224	non	67	110	1	na
5536	160	non	67	0	1	na
5760	224	non	67	110	1	na
5920	160	non	67	0	1	na
6144	224	non	67	110	1	na
6304	160	non	67	0	1	na
6528	224	non	65	110	1	na
6688	160	non	65	0	1	na
6912	224	non	65	110	1	na
7072	160	non	65	0	1	na
7680	608	non	65	110	1	na
7840	160	non	65	0	1	na
8064	224	non	65	110	1	na
8224	160	non	65	0	1	na
8448	224	non	65	110	1	na
8608	160	non	65	0	1	na
17088	8480	non	62	110	1	na
17182	94	non	62	0	1	na
17184	2	non	63	110	1	na
17278	94	non	63	0	1	na
17280	2	non	65	110	1	na
17440	160	non	65	0	1	na
17472	32	non	65	110	1	na
17566	94	non	65	0	1	na
17568	2	non	63	110	1	na
17662	94	non	63	0	1	na
17664	2	non	62	110	1	na
17824	160	non	62	0	1	na
17856	32	non	65	110	1	na
18192	336	non	65	0	1	na
18240	48	non	65	110	1	na
18400	160	non	65	0	1	na
18432	32	non	65	110	1	na
18592	160	non	65	0	1	na
18624	32	non	65	110	1	na
18784	160	non	65	0	1	na
18816	32	non	67	110	1	na
18976	160	non	67	0	1	na
19008	32	non	69	110	1	na
19168	160	non	69	0	1	na
19200	32	non	70	110	1	na
19360	160	non	70	0	1	na
19392	32	non	70	110	1	na
19728	336	non	70	0	1	na
19776	48	non	67	110	1	na
20112	336	non	67	0	1	na
20160	48	non	65	110	1	na
20496	336	non	65	0	1	na
20544	48	non	63	110	1	na
20880	336	non	63	0	1	na
20928	48	non	65	110	1	na
21022	94	non	65	0	1	na
21024	2	non	67	110	1	na
21118	94	non	67	0	1	na
21120	2	non	69	110	1	na
21214	94	non	69	0	1	na
21216	2	non	70	110	1	na
